session_id,user_id,session_date,landing_page,utm_source,utm_campaign,pageviews,conversions
S01072,U0448,2025-07-21,/blog,google,demo-q3,4,0
S01073,U0228,2025-07-21,/enterprise,facebook,top-q3,8,0
S01074,U0413,2025-07-21,/enterprise,facebook,top-q3,7,0
S01075,U0301,2025-07-21,/blog,google,demo-q3,3,0
S01076,U0244,2025-07-21,/blog,facebook,retarget-q3,2,1
S01077,U0303,2025-07-21,/solutions,google,demo-q3,1,0
S01078,U0469,2025-07-21,/demo,facebook,top-q3,3,0
S01079,U0364,2025-07-21,/blog,google,exp-q3,4,0
S01080,U0196,2025-07-21,/demo,,,8,0
S01081,U0424,2025-07-21,/demo,organic,,5,0
S01082,U0379,2025-07-21,/solutions,linkedin,cxo-q3,1,0
S01083,U0079,2025-07-21,/demo,linkedin,abm-q3,8,0
S01084,U0341,2025-07-21,/demo,facebook,top-q3,3,0
S01085,U0353,2025-07-21,/enterprise,linkedin,cxo-q3,1,0
S01086,U0142,2025-07-21,/solutions,google,demo-q3,10,0
S01087,U0298,2025-07-21,/solutions,organic,,7,1
S01088,U0322,2025-07-21,/enterprise,twitter,test-q3,2,0
S01089,U0295,2025-07-22,/,linkedin,abm-q3,3,0
S01090,U0075,2025-07-22,/demo,twitter,test-q3,3,0
S01091,U0028,2025-07-22,/demo,facebook,retarget-q3,7,0
S01092,U0490,2025-07-22,/demo,google,brand-q3,5,0
S01093,U0328,2025-07-22,/,,,4,0
S01094,U0094,2025-07-22,/,organic,,3,0
S01095,U0447,2025-07-22,/demo,linkedin,abm-q3,5,0
S01096,U0353,2025-07-22,/demo,google,demo-q3,9,0
S01097,U0422,2025-07-22,/pricing,google,brand-q3,3,0
S01098,U0191,2025-07-22,/solutions,facebook,top-q3,6,1
S01099,U0084,2025-07-22,/,linkedin,cxo-q3,3,0
S01100,U0426,2025-07-22,/pricing,,,10,0
S01101,U0488,2025-07-22,/blog,,,9,0
S01102,U0411,2025-07-22,/,facebook,top-q3,8,1
S01103,U0060,2025-07-22,/pricing,google,brand-q3,8,0
S01104,U0354,2025-07-22,/demo,google,exp-q3,8,1
S01105,U0306,2025-07-22,/blog,facebook,retarget-q3,3,0
S01106,U0015,2025-07-22,/enterprise,google,demo-q3,4,0
S01107,U0356,2025-07-22,/pricing,linkedin,cxo-q3,5,0
S01108,U0067,2025-07-22,/,facebook,top-q3,2,0
S01109,U0397,2025-07-22,/solutions,facebook,top-q3,1,0
S01110,U0017,2025-07-22,/enterprise,,,10,0
S01111,U0061,2025-07-22,/demo,google,brand-q3,2,0
S01112,U0006,2025-07-22,/,google,demo-q3,10,0
S01113,U0462,2025-07-22,/pricing,google,exp-q3,6,0
S01114,U0075,2025-07-22,/enterprise,linkedin,abm-q3,10,0
S01115,U0083,2025-07-22,/blog,organic,,4,0
S01116,U0035,2025-07-22,/,organic,,1,0
S01117,U0367,2025-07-22,/pricing,linkedin,abm-q3,3,1
S01118,U0276,2025-07-22,/,google,demo-q3,4,1
S01119,U0436,2025-07-22,/enterprise,twitter,test-q3,6,0
S01120,U0095,2025-07-22,/solutions,google,demo-q3,3,0
S01121,U0195,2025-07-22,/solutions,linkedin,cxo-q3,9,0
S01122,U0058,2025-07-22,/demo,google,demo-q3,8,0
S01123,U0070,2025-07-22,/solutions,facebook,retarget-q3,5,0
S01124,U0021,2025-07-22,/,facebook,retarget-q3,8,0
S01125,U0146,2025-07-22,/solutions,organic,,5,0
S01126,U0431,2025-07-22,/solutions,linkedin,cxo-q3,9,0
S01127,U0438,2025-07-22,/solutions,linkedin,cxo-q3,2,1
S01128,U0411,2025-07-22,/solutions,facebook,retarget-q3,3,0
S01129,U0346,2025-07-22,/solutions,google,demo-q3,7,0
S01130,U0338,2025-07-22,/enterprise,google,demo-q3,2,0
S01131,U0206,2025-07-22,/enterprise,organic,,2,0
S01132,U0457,2025-07-22,/pricing,google,demo-q3,6,2
S01133,U0174,2025-07-22,/pricing,organic,,7,0
S01134,U0430,2025-07-22,/solutions,twitter,test-q3,5,0
S01135,U0393,2025-07-22,/blog,organic,,5,0
S01136,U0411,2025-07-22,/enterprise,facebook,top-q3,6,0
S01137,U0309,2025-07-22,/solutions,twitter,test-q3,9,0
S01138,U0394,2025-07-22,/solutions,google,demo-q3,2,0
S01139,U0255,2025-07-22,/pricing,google,exp-q3,1,0
S01140,U0028,2025-07-22,/,twitter,test-q3,1,2
S01141,U0196,2025-07-22,/blog,facebook,retarget-q3,3,0
S01142,U0320,2025-07-22,/,google,demo-q3,9,0
S01143,U0406,2025-07-22,/solutions,linkedin,cxo-q3,5,0
S01144,U0252,2025-07-22,/blog,linkedin,abm-q3,9,0
S01145,U0441,2025-07-22,/blog,,,1,1
S01146,U0017,2025-07-22,/solutions,google,demo-q3,7,0
S01147,U0437,2025-07-22,/solutions,twitter,test-q3,8,0
S01148,U0091,2025-07-22,/blog,linkedin,abm-q3,3,0
S01149,U0069,2025-07-22,/demo,facebook,top-q3,8,0
S01150,U0292,2025-07-22,/enterprise,twitter,test-q3,9,0
S01151,U0293,2025-07-22,/solutions,twitter,test-q3,9,1
S01152,U0260,2025-07-22,/,facebook,top-q3,5,0
S01153,U0498,2025-07-22,/solutions,organic,,6,0
S01154,U0146,2025-07-22,/demo,google,brand-q3,1,0
S01155,U0066,2025-07-22,/demo,facebook,retarget-q3,10,0
S01156,U0457,2025-07-22,/enterprise,facebook,retarget-q3,7,0
S01157,U0177,2025-07-22,/demo,facebook,top-q3,6,0
S01158,U0126,2025-07-22,/pricing,linkedin,cxo-q3,5,0
S01159,U0467,2025-07-22,/enterprise,google,demo-q3,5,0
S01160,U0087,2025-07-22,/,,,6,0
S01161,U0337,2025-07-22,/solutions,organic,,9,1
S01162,U0137,2025-07-22,/,twitter,test-q3,10,0
S01163,U0163,2025-07-22,/solutions,organic,,7,0
S01164,U0051,2025-07-22,/solutions,google,demo-q3,4,0
S01165,U0416,2025-07-23,/enterprise,facebook,retarget-q3,3,0
S01166,U0187,2025-07-23,/solutions,linkedin,cxo-q3,8,0
S01167,U0499,2025-07-23,/,,,4,0
S01168,U0025,2025-07-23,/demo,organic,,7,0
S01169,U0320,2025-07-23,/enterprise,google,demo-q3,10,0
S01170,U0173,2025-07-23,/demo,google,demo-q3,10,0
S01171,U0244,2025-07-23,/solutions,linkedin,cxo-q3,6,0
S01172,U0334,2025-07-23,/demo,,,5,0
S01173,U0277,2025-07-23,/demo,linkedin,cxo-q3,7,0
S01174,U0320,2025-07-23,/blog,twitter,test-q3,9,0
S01175,U0010,2025-07-23,/enterprise,,,3,0
S01176,U0110,2025-07-23,/enterprise,twitter,test-q3,5,1
S01177,U0273,2025-07-23,/blog,facebook,top-q3,10,0
S01178,U0031,2025-07-23,/blog,linkedin,cxo-q3,6,0
S01179,U0124,2025-07-23,/pricing,linkedin,abm-q3,7,0
S01180,U0441,2025-07-23,/,linkedin,cxo-q3,7,0
S01181,U0147,2025-07-23,/enterprise,google,exp-q3,5,0
S01182,U0121,2025-07-23,/solutions,linkedin,cxo-q3,2,0
S01183,U0015,2025-07-23,/pricing,linkedin,abm-q3,8,0
S01184,U0224,2025-07-23,/solutions,google,brand-q3,4,0
S01185,U0070,2025-07-23,/,linkedin,abm-q3,5,0
S01186,U0091,2025-07-23,/enterprise,google,brand-q3,8,0
S01187,U0029,2025-07-23,/,facebook,retarget-q3,10,0
S01188,U0033,2025-07-23,/solutions,facebook,retarget-q3,2,0
S01189,U0430,2025-07-23,/enterprise,google,exp-q3,4,0
S01190,U0377,2025-07-23,/blog,google,demo-q3,9,0
S01191,U0298,2025-07-23,/blog,linkedin,abm-q3,8,1
S01192,U0122,2025-07-23,/blog,google,demo-q3,6,0
S01193,U0300,2025-07-23,/enterprise,facebook,top-q3,4,1
S01194,U0112,2025-07-23,/pricing,google,demo-q3,3,0
S01195,U0141,2025-07-23,/solutions,facebook,top-q3,5,1
S01196,U0029,2025-07-23,/solutions,,,6,0
S01197,U0058,2025-07-23,/demo,,,7,0
S01198,U0127,2025-07-23,/demo,google,exp-q3,6,0
S01199,U0189,2025-07-23,/demo,google,brand-q3,10,0
S01200,U0379,2025-07-23,/enterprise,google,brand-q3,4,0
S01201,U0197,2025-07-23,/demo,facebook,retarget-q3,2,0
S01202,U0122,2025-07-23,/solutions,facebook,top-q3,1,1
S01203,U0202,2025-07-23,/demo,linkedin,abm-q3,2,1
S01204,U0388,2025-07-23,/pricing,linkedin,abm-q3,4,1
S01205,U0083,2025-07-23,/solutions,facebook,retarget-q3,7,0
S01206,U0141,2025-07-23,/,twitter,test-q3,8,0
S01207,U0475,2025-07-23,/demo,facebook,top-q3,2,0
S01208,U0358,2025-07-23,/demo,,,2,0
S01209,U0309,2025-07-23,/enterprise,,,6,0
S01210,U0015,2025-07-23,/,google,exp-q3,8,0
S01211,U0070,2025-07-23,/,facebook,top-q3,4,0
S01212,U0161,2025-07-23,/blog,google,demo-q3,2,0
S01213,U0265,2025-07-23,/enterprise,google,exp-q3,10,0
S01214,U0406,2025-07-23,/demo,twitter,test-q3,8,1
S01215,U0069,2025-07-23,/demo,google,exp-q3,10,0
S01216,U0410,2025-07-23,/demo,linkedin,cxo-q3,2,0
S01217,U0094,2025-07-23,/solutions,facebook,top-q3,10,0
S01218,U0486,2025-07-23,/,,,10,0
S01219,U0465,2025-07-23,/,twitter,test-q3,4,0
S01220,U0437,2025-07-23,/pricing,google,brand-q3,7,0
S01221,U0308,2025-07-23,/demo,google,exp-q3,2,1
S01222,U0088,2025-07-23,/blog,google,demo-q3,1,0
S01223,U0223,2025-07-23,/solutions,twitter,test-q3,2,0
S01224,U0105,2025-07-23,/pricing,linkedin,abm-q3,5,0
S01225,U0196,2025-07-23,/pricing,facebook,top-q3,4,0
S01226,U0422,2025-07-23,/demo,linkedin,cxo-q3,7,0
S01227,U0075,2025-07-24,/,linkedin,abm-q3,5,0
S01228,U0231,2025-07-24,/pricing,facebook,retarget-q3,10,0
S01229,U0235,2025-07-24,/,google,brand-q3,8,0
S01230,U0166,2025-07-24,/enterprise,facebook,top-q3,4,0
S01231,U0363,2025-07-24,/solutions,organic,,5,0
S01232,U0286,2025-07-24,/,google,brand-q3,6,1
S01233,U0242,2025-07-24,/demo,organic,,10,0
S01234,U0415,2025-07-24,/,google,brand-q3,5,0
S01235,U0196,2025-07-24,/demo,facebook,top-q3,6,0
S01236,U0457,2025-07-24,/blog,google,brand-q3,10,0
S01237,U0087,2025-07-24,/blog,twitter,test-q3,6,1
S01238,U0068,2025-07-24,/,facebook,retarget-q3,9,0
S01239,U0134,2025-07-24,/,facebook,retarget-q3,1,2
S01240,U0256,2025-07-24,/demo,facebook,retarget-q3,7,0
S01241,U0449,2025-07-24,/demo,organic,,5,0
S01242,U0224,2025-07-24,/pricing,facebook,retarget-q3,8,0
S01243,U0078,2025-07-24,/blog,twitter,test-q3,1,0
S01244,U0028,2025-07-24,/pricing,google,exp-q3,1,0
S01245,U0084,2025-07-24,/enterprise,twitter,test-q3,7,0
S01246,U0459,2025-07-24,/solutions,google,brand-q3,8,0
S01247,U0364,2025-07-24,/blog,twitter,test-q3,8,0
S01248,U0434,2025-07-24,/enterprise,google,exp-q3,2,0
S01249,U0105,2025-07-24,/demo,google,exp-q3,3,0
S01250,U0422,2025-07-24,/demo,organic,,10,0
S01251,U0498,2025-07-24,/,,,10,0
S01252,U0472,2025-07-24,/,linkedin,cxo-q3,8,0
S01253,U0455,2025-07-24,/demo,google,brand-q3,5,0
S01254,U0349,2025-07-24,/,facebook,top-q3,6,0
S01255,U0488,2025-07-24,/,facebook,retarget-q3,3,0
S01256,U0236,2025-07-24,/enterprise,twitter,test-q3,8,0
S01257,U0138,2025-07-24,/blog,google,brand-q3,6,1
S01258,U0336,2025-07-24,/blog,twitter,test-q3,6,1
S01259,U0376,2025-07-24,/blog,google,exp-q3,4,1
S01260,U0411,2025-07-24,/enterprise,linkedin,abm-q3,6,0
S01261,U0381,2025-07-24,/,,,10,0
S01262,U0205,2025-07-24,/demo,google,exp-q3,4,1
S01263,U0444,2025-07-24,/solutions,google,demo-q3,1,1
S01264,U0084,2025-07-24,/solutions,facebook,top-q3,5,0
S01265,U0489,2025-07-24,/enterprise,google,exp-q3,2,0
S01266,U0411,2025-07-24,/solutions,linkedin,abm-q3,10,0
S01267,U0341,2025-07-24,/,facebook,retarget-q3,9,0
S01268,U0229,2025-07-24,/solutions,twitter,test-q3,5,0
S01269,U0217,2025-07-24,/,facebook,top-q3,6,0
S01270,U0223,2025-07-24,/enterprise,facebook,top-q3,2,0
S01271,U0175,2025-07-24,/solutions,linkedin,cxo-q3,3,1
S01272,U0270,2025-07-24,/enterprise,,,2,0
S01273,U0224,2025-07-24,/,twitter,test-q3,5,0
S01274,U0066,2025-07-24,/enterprise,linkedin,abm-q3,4,0
S01275,U0152,2025-07-24,/blog,google,brand-q3,9,0
S01276,U0024,2025-07-24,/blog,google,demo-q3,9,0
S01277,U0049,2025-07-24,/solutions,organic,,5,0
S01278,U0300,2025-07-24,/,,,1,0
S01279,U0339,2025-07-24,/solutions,google,exp-q3,3,0
S01280,U0024,2025-07-24,/,facebook,top-q3,5,0
S01281,U0371,2025-07-24,/solutions,twitter,test-q3,10,0
S01282,U0175,2025-07-24,/pricing,linkedin,cxo-q3,3,0
S01283,U0310,2025-07-24,/demo,google,demo-q3,7,0
S01284,U0003,2025-07-24,/solutions,google,demo-q3,1,0
S01285,U0245,2025-07-24,/solutions,facebook,top-q3,10,0
S01286,U0156,2025-07-24,/blog,organic,,6,0
S01287,U0494,2025-07-24,/enterprise,facebook,top-q3,5,0
S01288,U0070,2025-07-24,/,linkedin,cxo-q3,2,0
S01289,U0357,2025-07-24,/pricing,google,brand-q3,4,0
S01290,U0075,2025-07-24,/enterprise,linkedin,cxo-q3,7,0
S01291,U0440,2025-07-24,/blog,linkedin,cxo-q3,2,0
S01292,U0238,2025-07-24,/pricing,twitter,test-q3,7,0
S01293,U0086,2025-07-24,/pricing,twitter,test-q3,8,0
S01294,U0441,2025-07-24,/solutions,organic,,4,0
S01295,U0292,2025-07-24,/solutions,google,brand-q3,6,0
S01296,U0323,2025-07-24,/enterprise,facebook,top-q3,7,0
S01297,U0378,2025-07-24,/blog,organic,,9,2
S01298,U0019,2025-07-24,/solutions,facebook,top-q3,8,0
S01299,U0372,2025-07-24,/blog,twitter,test-q3,4,0
S01300,U0271,2025-07-24,/,facebook,top-q3,10,0
S01301,U0033,2025-07-24,/demo,facebook,top-q3,8,0
S01302,U0319,2025-07-24,/enterprise,facebook,retarget-q3,8,0
S01303,U0011,2025-07-24,/pricing,linkedin,abm-q3,4,0
S01304,U0225,2025-07-24,/pricing,,,4,0
S01305,U0351,2025-07-24,/demo,organic,,8,0
S01306,U0151,2025-07-24,/enterprise,facebook,top-q3,7,0
S01307,U0335,2025-07-25,/enterprise,facebook,retarget-q3,8,0
S01308,U0433,2025-07-25,/pricing,organic,,4,0
S01309,U0384,2025-07-25,/,twitter,test-q3,3,0
S01310,U0081,2025-07-25,/blog,twitter,test-q3,2,0
S01311,U0483,2025-07-25,/solutions,linkedin,abm-q3,4,0
S01312,U0025,2025-07-25,/,facebook,retarget-q3,5,0
S01313,U0082,2025-07-25,/pricing,,,1,0
S01314,U0173,2025-07-25,/solutions,google,demo-q3,10,0
S01315,U0288,2025-07-25,/pricing,twitter,test-q3,5,2
S01316,U0402,2025-07-25,/demo,google,brand-q3,9,0
S01317,U0078,2025-07-25,/enterprise,,,10,0
S01318,U0362,2025-07-25,/,twitter,test-q3,8,1
S01319,U0387,2025-07-25,/,google,demo-q3,10,0
S01320,U0440,2025-07-25,/,,,1,0
S01321,U0086,2025-07-25,/enterprise,google,demo-q3,4,1
S01322,U0081,2025-07-25,/enterprise,linkedin,abm-q3,8,0
S01323,U0256,2025-07-25,/enterprise,google,demo-q3,3,0
S01324,U0172,2025-07-25,/pricing,google,demo-q3,4,0
S01325,U0213,2025-07-25,/,linkedin,cxo-q3,8,0
S01326,U0259,2025-07-25,/pricing,google,demo-q3,5,0
S01327,U0387,2025-07-25,/solutions,facebook,retarget-q3,4,0
S01328,U0386,2025-07-25,/blog,facebook,top-q3,4,0
S01329,U0220,2025-07-25,/solutions,facebook,top-q3,8,1
S01330,U0265,2025-07-25,/enterprise,facebook,retarget-q3,1,0
S01331,U0395,2025-07-25,/,,,2,0
S01332,U0162,2025-07-25,/solutions,google,exp-q3,7,0
S01333,U0389,2025-07-25,/,google,exp-q3,10,0
S01334,U0324,2025-07-25,/enterprise,,,5,0
S01335,U0454,2025-07-25,/enterprise,,,5,0
S01336,U0161,2025-07-25,/demo,google,brand-q3,5,1
S01337,U0313,2025-07-25,/pricing,facebook,top-q3,8,0
S01338,U0455,2025-07-25,/blog,organic,,10,0
S01339,U0358,2025-07-25,/demo,facebook,top-q3,4,1
S01340,U0044,2025-07-25,/,,,6,0
S01341,U0369,2025-07-25,/enterprise,google,exp-q3,9,2
S01342,U0146,2025-07-25,/pricing,google,demo-q3,9,0
S01343,U0267,2025-07-25,/demo,google,exp-q3,1,0
S01344,U0408,2025-07-25,/blog,organic,,5,0
S01345,U0397,2025-07-25,/demo,facebook,top-q3,9,0
S01346,U0031,2025-07-25,/demo,linkedin,abm-q3,9,0
S01347,U0025,2025-07-25,/enterprise,google,demo-q3,8,0
S01348,U0378,2025-07-25,/,twitter,test-q3,6,2
S01349,U0413,2025-07-25,/enterprise,organic,,10,0
S01350,U0481,2025-07-25,/enterprise,,,10,0
S01351,U0154,2025-07-25,/demo,organic,,3,0
S01352,U0267,2025-07-25,/enterprise,linkedin,cxo-q3,2,0
S01353,U0299,2025-07-25,/pricing,facebook,retarget-q3,8,0
S01354,U0365,2025-07-25,/solutions,facebook,top-q3,2,0
S01355,U0218,2025-07-25,/pricing,twitter,test-q3,4,0
S01356,U0190,2025-07-25,/enterprise,,,7,0
S01357,U0266,2025-07-25,/solutions,linkedin,abm-q3,10,0
S01358,U0217,2025-07-25,/solutions,twitter,test-q3,7,0
S01359,U0074,2025-07-25,/blog,google,exp-q3,8,0
S01360,U0067,2025-07-25,/enterprise,,,9,0
S01361,U0109,2025-07-25,/solutions,twitter,test-q3,1,0
S01362,U0484,2025-07-25,/blog,facebook,retarget-q3,2,0
S01363,U0210,2025-07-25,/,google,demo-q3,6,0
S01364,U0021,2025-07-25,/blog,google,exp-q3,2,0
S01365,U0192,2025-07-25,/demo,linkedin,abm-q3,8,0
S01366,U0074,2025-07-25,/pricing,organic,,7,0
S01367,U0458,2025-07-25,/demo,linkedin,abm-q3,4,0
S01368,U0379,2025-07-25,/solutions,google,brand-q3,2,0
S01369,U0035,2025-07-25,/,facebook,top-q3,8,0
S01370,U0290,2025-07-25,/solutions,facebook,retarget-q3,7,0
S01371,U0369,2025-07-25,/blog,google,exp-q3,3,0
S01372,U0236,2025-07-25,/solutions,twitter,test-q3,3,1
S01373,U0167,2025-07-25,/,organic,,10,0
S01374,U0120,2025-07-25,/solutions,facebook,retarget-q3,9,0
S01375,U0344,2025-07-25,/solutions,linkedin,abm-q3,2,1
S01376,U0363,2025-07-25,/,organic,,5,0
S01377,U0064,2025-07-25,/enterprise,,,2,0
S01378,U0317,2025-07-25,/blog,organic,,1,1
S01379,U0268,2025-07-25,/pricing,twitter,test-q3,9,1
S01380,U0338,2025-07-26,/blog,google,exp-q3,1,0
S01381,U0106,2025-07-26,/pricing,organic,,8,0
S01382,U0274,2025-07-26,/blog,facebook,retarget-q3,7,0
S01383,U0252,2025-07-26,/,facebook,retarget-q3,7,0
S01384,U0013,2025-07-26,/blog,facebook,retarget-q3,7,0
S01385,U0059,2025-07-26,/,,,3,0
S01386,U0094,2025-07-26,/demo,google,demo-q3,3,0
S01387,U0209,2025-07-26,/enterprise,google,exp-q3,1,0
S01388,U0167,2025-07-26,/pricing,google,brand-q3,1,0
S01389,U0051,2025-07-26,/demo,google,exp-q3,7,1
S01390,U0133,2025-07-26,/solutions,google,demo-q3,1,0
S01391,U0386,2025-07-26,/blog,organic,,4,0
S01392,U0386,2025-07-26,/blog,facebook,top-q3,2,0
S01393,U0163,2025-07-26,/solutions,,,7,0
S01394,U0015,2025-07-26,/solutions,linkedin,cxo-q3,1,0
S01395,U0494,2025-07-26,/blog,google,demo-q3,4,0
S01396,U0334,2025-07-26,/pricing,linkedin,abm-q3,10,0
S01397,U0043,2025-07-26,/enterprise,,,4,0
S01398,U0073,2025-07-26,/demo,,,3,0
S01399,U0276,2025-07-26,/solutions,,,8,0
S01400,U0417,2025-07-26,/solutions,organic,,5,0
S01401,U0086,2025-07-26,/,google,brand-q3,8,0
S01402,U0129,2025-07-26,/enterprise,facebook,top-q3,6,0
S01403,U0109,2025-07-26,/blog,,,5,0
S01404,U0379,2025-07-26,/blog,organic,,2,0
S01405,U0203,2025-07-26,/enterprise,google,demo-q3,3,0
S01406,U0144,2025-07-26,/solutions,linkedin,cxo-q3,10,0
S01407,U0411,2025-07-26,/demo,facebook,retarget-q3,5,2
S01408,U0363,2025-07-26,/solutions,linkedin,abm-q3,4,0
S01409,U0165,2025-07-26,/demo,linkedin,cxo-q3,8,1
S01410,U0169,2025-07-26,/,google,exp-q3,1,0
S01411,U0003,2025-07-26,/,google,exp-q3,7,0
S01412,U0357,2025-07-26,/enterprise,twitter,test-q3,7,0
S01413,U0404,2025-07-26,/enterprise,google,demo-q3,9,0
S01414,U0427,2025-07-26,/enterprise,twitter,test-q3,2,0
S01415,U0417,2025-07-26,/solutions,organic,,6,0
S01416,U0430,2025-07-26,/enterprise,google,brand-q3,2,0
S01417,U0228,2025-07-27,/,linkedin,cxo-q3,1,0
S01418,U0349,2025-07-27,/enterprise,facebook,retarget-q3,4,0
S01419,U0315,2025-07-27,/enterprise,linkedin,abm-q3,4,0
S01420,U0253,2025-07-27,/demo,google,brand-q3,5,0
S01421,U0361,2025-07-27,/enterprise,organic,,4,0
S01422,U0421,2025-07-27,/enterprise,facebook,top-q3,2,1
S01423,U0292,2025-07-27,/blog,twitter,test-q3,3,0
S01424,U0338,2025-07-27,/enterprise,organic,,10,0
S01425,U0034,2025-07-27,/blog,google,exp-q3,2,0
S01426,U0478,2025-07-27,/blog,linkedin,cxo-q3,9,0
S01427,U0141,2025-07-27,/pricing,google,brand-q3,9,0
S01428,U0349,2025-07-27,/blog,twitter,test-q3,1,1
S01429,U0329,2025-07-27,/enterprise,google,brand-q3,6,0
S01430,U0209,2025-07-27,/demo,google,demo-q3,9,0
S01431,U0186,2025-07-27,/blog,google,brand-q3,4,0
S01432,U0471,2025-07-27,/solutions,,,8,0
S01433,U0201,2025-07-27,/pricing,facebook,retarget-q3,2,1
S01434,U0414,2025-07-27,/,linkedin,cxo-q3,7,1
S01435,U0470,2025-07-27,/pricing,linkedin,cxo-q3,3,0
S01436,U0033,2025-07-27,/enterprise,google,demo-q3,1,0
S01437,U0414,2025-07-27,/,organic,,6,0
S01438,U0127,2025-07-27,/,twitter,test-q3,4,1
S01439,U0427,2025-07-27,/,facebook,retarget-q3,9,0
S01440,U0484,2025-07-27,/,organic,,10,0
S01441,U0049,2025-07-27,/enterprise,twitter,test-q3,10,0
S01442,U0499,2025-07-27,/,google,brand-q3,7,0
S01443,U0435,2025-07-27,/enterprise,google,demo-q3,3,0
S01444,U0411,2025-07-27,/solutions,google,brand-q3,5,0
S01445,U0222,2025-07-27,/,google,demo-q3,1,0
S01446,U0151,2025-07-27,/solutions,facebook,top-q3,2,0
S01447,U0211,2025-07-27,/pricing,organic,,10,0
S01448,U0197,2025-07-27,/solutions,facebook,top-q3,10,0
S01449,U0174,2025-07-27,/enterprise,google,brand-q3,8,0
S01450,U0301,2025-07-27,/pricing,google,demo-q3,2,0
S01451,U0366,2025-07-27,/,organic,,4,1
S01452,U0065,2025-07-27,/enterprise,,,5,0
S01453,U0247,2025-07-27,/enterprise,organic,,8,0
S01454,U0071,2025-07-27,/,google,brand-q3,3,0
S01455,U0224,2025-07-27,/blog,facebook,retarget-q3,5,0
S01456,U0278,2025-07-27,/pricing,google,exp-q3,8,0
S01457,U0176,2025-07-27,/demo,facebook,retarget-q3,1,0
S01458,U0337,2025-07-27,/enterprise,google,exp-q3,1,0
S01459,U0440,2025-07-28,/,facebook,top-q3,6,0
S01460,U0103,2025-07-28,/enterprise,linkedin,cxo-q3,2,0
S01461,U0342,2025-07-28,/solutions,twitter,test-q3,10,0
S01462,U0437,2025-07-28,/blog,organic,,6,0
S01463,U0215,2025-07-28,/demo,google,exp-q3,2,0
S01464,U0405,2025-07-28,/,twitter,test-q3,4,1
S01465,U0328,2025-07-28,/pricing,linkedin,cxo-q3,8,0
S01466,U0123,2025-07-28,/solutions,facebook,retarget-q3,7,0
S01467,U0095,2025-07-28,/,facebook,retarget-q3,1,0
S01468,U0016,2025-07-28,/blog,google,demo-q3,3,0
S01469,U0100,2025-07-28,/enterprise,organic,,6,0
S01470,U0016,2025-07-28,/pricing,linkedin,cxo-q3,5,0
S01471,U0454,2025-07-28,/demo,google,exp-q3,6,0
S01472,U0126,2025-07-28,/pricing,linkedin,cxo-q3,1,0
S01473,U0135,2025-07-28,/,google,brand-q3,3,0
S01474,U0404,2025-07-28,/,facebook,retarget-q3,4,0
S01475,U0123,2025-07-28,/demo,facebook,retarget-q3,3,1
S01476,U0410,2025-07-28,/blog,facebook,top-q3,2,0
S01477,U0452,2025-07-28,/pricing,linkedin,cxo-q3,4,0
S01478,U0356,2025-07-28,/demo,facebook,retarget-q3,10,0
S01479,U0326,2025-07-28,/pricing,google,brand-q3,10,0
S01480,U0438,2025-07-28,/blog,linkedin,abm-q3,3,0
S01481,U0028,2025-07-28,/enterprise,linkedin,abm-q3,3,1
S01482,U0496,2025-07-28,/blog,twitter,test-q3,4,0
S01483,U0402,2025-07-28,/solutions,organic,,2,0
S01484,U0199,2025-07-28,/enterprise,,,6,0
S01485,U0238,2025-07-28,/pricing,facebook,retarget-q3,6,0
S01486,U0248,2025-07-28,/enterprise,twitter,test-q3,8,0
S01487,U0206,2025-07-28,/enterprise,organic,,1,0
S01488,U0459,2025-07-28,/pricing,twitter,test-q3,4,0
S01489,U0157,2025-07-28,/solutions,facebook,top-q3,10,0
S01490,U0432,2025-07-28,/demo,linkedin,abm-q3,9,0
S01491,U0385,2025-07-28,/,linkedin,abm-q3,8,0
S01492,U0118,2025-07-28,/blog,google,brand-q3,8,0
S01493,U0173,2025-07-28,/solutions,twitter,test-q3,8,0
S01494,U0189,2025-07-28,/solutions,facebook,retarget-q3,5,0
S01495,U0092,2025-07-28,/solutions,linkedin,cxo-q3,5,0
S01496,U0184,2025-07-28,/,linkedin,abm-q3,9,0
S01497,U0330,2025-07-28,/,linkedin,abm-q3,4,0
S01498,U0037,2025-07-28,/demo,google,brand-q3,9,0
S01499,U0101,2025-07-28,/enterprise,facebook,retarget-q3,5,0
S01500,U0418,2025-07-28,/enterprise,linkedin,abm-q3,4,0
S01501,U0071,2025-07-28,/enterprise,,,5,0
S01502,U0154,2025-07-28,/demo,facebook,retarget-q3,7,1
S01503,U0421,2025-07-28,/blog,google,brand-q3,8,0
S01504,U0390,2025-07-28,/pricing,facebook,top-q3,4,0
S01505,U0384,2025-07-28,/pricing,twitter,test-q3,4,0
S01506,U0403,2025-07-28,/blog,twitter,test-q3,8,0
S01507,U0044,2025-07-28,/demo,linkedin,cxo-q3,7,0
S01508,U0358,2025-07-28,/solutions,linkedin,cxo-q3,8,0
S01509,U0286,2025-07-28,/,facebook,retarget-q3,3,0
S01510,U0066,2025-07-28,/demo,google,brand-q3,8,0
S01511,U0428,2025-07-28,/demo,facebook,retarget-q3,4,0
S01512,U0352,2025-07-28,/solutions,,,5,0
S01513,U0012,2025-07-28,/blog,google,brand-q3,3,0
S01514,U0488,2025-07-28,/demo,organic,,10,1
